taxa_id,genus,species
61092,Crocidura,lepidura
1881797,Telenomus,sp.
1260869,Scatopsciara,atomaria
1887190,Einfeldia,sp.
1887684,Aperileptus,sp.
1886968,Keroplatidae,sp.
1886996,Milichiidae,sp.
573841,Sordaria,araneosa
1806630,Caloptilia,cf.
373177,Branchiostoma,japonicum
37347,Tupaia,belangeri
38151,Clastoptera,arizonana
1464854,Cuerna,arida
320908,Homalodisca,liturata
36148,Graphocephala,atropunctata
1658172,Emmonsia,sp.
460523,Ogataea,polymorpha
36050,Fusarium,poae
1622147,Pseudogymnoascus,sp.
1622150,Pseudogymnoascus,sp.
1524831,Pseudogymnoascus,sp.
1622149,Pseudogymnoascus,sp.
1622148,Pseudogymnoascus,sp.
342668,Pseudogymnoascus,verrucosus
8364,Xenopus,tropicalis
